2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | CSV exported: /tmp/pytest-of-theodores/pytest-0/test_creates_file0/exports/test_export.csv (6 rows)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | CSV exported: /tmp/pytest-of-theodores/pytest-0/test_row_count_matches0/exports/row_count.csv (6 rows)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | CSV exported: /tmp/pytest-of-theodores/pytest-0/test_header_contains_expected_0/exports/headers.csv (6 rows)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | CSV exported: /tmp/pytest-of-theodores/pytest-0/test_platform_value_in_csv0/exports/platform_check.csv (1 rows)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | CSV exported: /tmp/pytest-of-theodores/pytest-0/test_creates_output_dir_if_mis0/a/b/c/nested_dir.csv (1 rows)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | CSV exported: /tmp/pytest-of-theodores/pytest-0/test_empty_list_produces_heade0/exports/empty.csv (0 rows)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | JSON exported: /tmp/pytest-of-theodores/pytest-0/test_creates_json_file0/exports/test_json.json (6 records)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | JSON exported: /tmp/pytest-of-theodores/pytest-0/test_valid_json_structure0/exports/valid_json.json (6 records)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | JSON exported: /tmp/pytest-of-theodores/pytest-0/test_restaurant_fields_present0/exports/fields.json (1 records)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | JSON exported: /tmp/pytest-of-theodores/pytest-0/test_unicode_preserved0/exports/unicode.json (1 records)
2026-03-09 10:44:29 | INFO     | scraper.exporters.exporters | JSON exported: /tmp/pytest-of-theodores/pytest-0/test_empty_list_produces_empty0/exports/empty_json.json (0 records)
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
2026-03-09 10:44:29 | INFO     | scraper.utils.proxy_manager | ProxyManager initialised
